2022-04-01 21:58:42 EPC: 00721900000000000000049E, TID: E280110520005A59D1420065
2022-04-01 21:58:42 EPC: 00721900000000000000041B, TID: E28011052000554BD2550065
2022-04-01 21:58:43 EPC: 00721900000000000000049E, TID: E280110520005A59D1420065
2022-04-01 21:58:48 EPC: 00721900000000000000049E, TID: E280110520005A59D1420065
2022-04-01 21:58:49 EPC: 00721900000000000000049E, TID: E280110520005A59D1420065
2022-04-01 21:58:50 EPC: 00721900000000000000049E, TID: E280110520005A59D1420065
2022-04-01 21:58:51 EPC: 00721900000000000000049E, TID: E280110520005A59D1420065
2022-04-01 21:59:00 EPC: 00721900000000000000049E, TID: E280110520005A59D1420065
2022-04-01 21:59:01 EPC: 00721900000000000000049E, TID: E280110520005A59D1420065
2022-04-01 21:59:12 EPC: 00721900000000000000041B, TID: E28011052000554BD2550065
2022-04-01 21:59:17 EPC: 00721900000000000000041B, TID: E28011052000554BD2550065
2022-04-01 21:59:31 EPC: 00721900000000000000041B, TID: E28011052000554BD2550065
2022-04-01 21:59:32 EPC: 00721900000000000000041B, TID: E28011052000554BD2550065
2022-04-01 21:59:33 EPC: 00721900000000000000041B, TID: E28011052000554BD2550065
2022-04-01 21:59:34 EPC: 00721900000000000000041B, TID: E28011052000554BD2550065
2022-04-01 21:59:34 EPC: 00721900000000000000049E, TID: E280110520005A59D1420065
2022-04-01 21:59:43 EPC: 007219000000000000000AAF, TID: E280110520005783D3470065
2022-04-01 21:59:44 EPC: 007219000000000000000AAF, TID: E280110520005783D3470065
2022-04-01 21:59:46 EPC: 007219000000000000000AAF, TID: E280110520005783D3470065
2022-04-01 21:59:54 EPC: 007219000000000000000492, TID: E28011052000569AD1BF0065
2022-04-01 21:59:55 EPC: 007219000000000000000492, TID: E28011052000569AD1BF0065
2022-04-01 21:59:56 EPC: 007219000000000000000492, TID: E28011052000569AD1BF0065
2022-04-01 21:59:57 EPC: 007219000000000000000492, TID: E28011052000569AD1BF0065
2022-04-01 21:59:58 EPC: 007219000000000000000492, TID: E28011052000569AD1BF0065
2022-04-01 21:59:59 EPC: 00681500000000000000150F, TID: E2801105200057032D09021B
2022-04-01 21:59:59 EPC: 007219000000000000000492, TID: E28011052000569AD1BF0065
2022-04-01 22:00:00 EPC: 007219000000000000000492, TID: E28011052000569AD1BF0065
2022-04-01 22:00:02 EPC: 007219000000000000000492, TID: E28011052000569AD1BF0065
2022-04-01 22:00:03 EPC: 007219000000000000000492, TID: E28011052000569AD1BF0065
2022-04-01 22:00:05 EPC: 007219000000000000000492, TID: E28011052000569AD1BF0065
2022-04-01 22:00:11 EPC: 007219000000000000000492, TID: E28011052000569AD1BF0065
2022-04-01 22:00:13 EPC: 007219000000000000000492, TID: E28011052000569AD1BF0065
2022-04-01 22:00:24 EPC: 00721900000000000000052D, TID: E28011052000525AD1190065
2022-04-01 22:00:25 EPC: 00721900000000000000052D, TID: E28011052000525AD1190065
2022-04-01 22:00:34 EPC: 0072190000000000000004C5, TID: E280110520005A5AD1420065
2022-04-01 22:00:42 EPC: 00721900000000000000041E, TID: E2801105200056C6D3D90065
2022-04-01 22:00:43 EPC: 00721900000000000000041E, TID: E2801105200056C6D3D90065
2022-04-01 22:00:44 EPC: 00721900000000000000041E, TID: E2801105200056C6D3D90065
2022-04-01 22:00:45 EPC: 00721900000000000000041E, TID: E2801105200056C6D3D90065
2022-04-01 22:00:46 EPC: 00721900000000000000041E, TID: E2801105200056C6D3D90065
2022-04-01 22:00:47 EPC: 00721900000000000000041E, TID: E2801105200056C6D3D90065
2022-04-01 22:00:48 EPC: 00721900000000000000041E, TID: E2801105200056C6D3D90065
2022-04-01 22:00:49 EPC: 00721900000000000000041E, TID: E2801105200056C6D3D90065
2022-04-01 22:00:50 EPC: 00721900000000000000041E, TID: E2801105200056C6D3D90065
2022-04-01 22:00:52 EPC: 00721900000000000000041E, TID: E2801105200056C6D3D90065
2022-04-01 22:00:53 EPC: 00721900000000000000041E, TID: E2801105200056C6D3D90065
2022-04-01 22:00:54 EPC: 00721900000000000000041E, TID: E2801105200056C6D3D90065
2022-04-01 22:00:55 EPC: 00681500000000000000149B, TID: E2801105200058D6319B021B
2022-04-01 22:01:04 EPC: 00721900000000000000041E, TID: E2801105200056C6D3D90065
2022-04-01 22:01:04 EPC: 00681500000000000000149B, TID: E2801105200058D6319B021B
2022-04-01 22:02:05 EPC: 007219000000000000000DC8, TID: E280110520005984D48B0065
2022-04-01 22:02:06 EPC: 007219000000000000000DC8, TID: E280110520005984D48B0065
2022-04-01 22:02:13 EPC: 007219000000000000000E20, TID: E28011052000529CD1190065
