2022-04-02 21:21:53 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:21:54 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:21:55 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:21:56 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:21:57 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:22:04 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:22:05 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:22:07 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:22:07 EPC: 0072190000000000000004ED, TID: E28011052000569CD1720065
2022-04-02 21:22:08 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:22:20 EPC: 00721900000000000000049F, TID: E280110520005099D1F20065
2022-04-02 21:22:21 EPC: 00721900000000000000049F, TID: E280110520005099D1F20065
2022-04-02 21:22:29 EPC: 007219000000000000000445, TID: E28011052000531AD1590065
2022-04-02 21:22:31 EPC: 007219000000000000000445, TID: E28011052000531AD1590065
2022-04-02 21:22:48 EPC: 007219000000000000000445, TID: E28011052000531AD1590065
2022-04-02 21:22:49 EPC: 007219000000000000000445, TID: E28011052000531AD1590065
2022-04-02 21:22:58 EPC: 00721900000000000000049F, TID: E280110520005099D1F20065
2022-04-02 21:22:59 EPC: 00721900000000000000049F, TID: E280110520005099D1F20065
2022-04-02 21:23:12 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:23:13 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:23:14 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:23:30 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:23:31 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:23:32 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:23:33 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:23:34 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:23:49 EPC: 00721900000000000000049F, TID: E280110520005099D1F20065
2022-04-02 21:23:50 EPC: 00721900000000000000049F, TID: E280110520005099D1F20065
2022-04-02 21:23:52 EPC: 00721900000000000000049F, TID: E280110520005099D1F20065
2022-04-02 21:24:01 EPC: 007219000000000000000445, TID: E28011052000531AD1590065
2022-04-02 21:24:02 EPC: 007219000000000000000445, TID: E28011052000531AD1590065
2022-04-02 21:24:03 EPC: 007219000000000000000445, TID: E28011052000531AD1590065
2022-04-02 21:24:39 EPC: 007219000000000000000483, TID: E280110520005AD9D1050065
2022-04-02 21:24:40 EPC: 007219000000000000000483, TID: E280110520005AD9D1050065
2022-04-02 21:24:41 EPC: 007219000000000000000483, TID: E280110520005AD9D1050065
2022-04-02 21:24:50 EPC: 007219000000000000000399, TID: E28011052000570BD2550065
2022-04-02 21:24:51 EPC: 007219000000000000000399, TID: E28011052000570BD2550065
2022-04-02 21:25:03 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B
2022-04-02 21:25:04 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B
2022-04-02 21:25:05 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B
2022-04-02 21:25:17 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B
2022-04-02 21:25:18 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B
2022-04-02 21:25:19 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B
2022-04-02 21:25:20 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B
2022-04-02 21:25:21 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B
2022-04-02 21:25:34 EPC: 007219000000000000000399, TID: E28011052000570BD2550065
2022-04-02 21:25:35 EPC: 007219000000000000000399, TID: E28011052000570BD2550065
2022-04-02 21:25:48 EPC: 007219000000000000000399, TID: E28011052000570BD2550065
2022-04-02 21:25:50 EPC: 007219000000000000000399, TID: E28011052000570BD2550065
2022-04-02 21:25:51 EPC: 007219000000000000000399, TID: E28011052000570BD2550065
2022-04-02 21:26:03 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B
2022-04-02 21:26:04 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B
2022-04-02 21:26:05 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B
2022-04-02 21:26:06 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B
2022-04-02 21:26:10 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B
2022-04-02 21:26:11 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B
2022-04-02 21:26:12 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B
2022-04-02 21:26:13 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B
2022-04-02 21:26:14 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B
2022-04-02 21:26:26 EPC: 007219000000000000000399, TID: E28011052000570BD2550065
2022-04-02 21:26:27 EPC: 007219000000000000000399, TID: E28011052000570BD2550065
2022-04-02 21:26:36 EPC: 007219000000000000000483, TID: E280110520005AD9D1050065
2022-04-02 21:26:37 EPC: 007219000000000000000483, TID: E280110520005AD9D1050065
2022-04-02 21:26:57 EPC: 007219000000000000000483, TID: E280110520005AD9D1050065
2022-04-02 21:26:59 EPC: 007219000000000000000483, TID: E280110520005AD9D1050065
2022-04-02 21:27:00 EPC: 007219000000000000000483, TID: E280110520005AD9D1050065
2022-04-02 21:27:19 EPC: 007219000000000000000445, TID: E28011052000531AD1590065
2022-04-02 21:53:18 EPC: 0072190000000000000003D6, TID: E280110520005146D3BE0065
2022-04-02 21:53:19 EPC: 0072190000000000000003D6, TID: E280110520005146D3BE0065
2022-04-02 21:53:20 EPC: 0072190000000000000003D6, TID: E280110520005146D3BE0065
2022-04-02 21:53:28 EPC: 007219000000000000000A27, TID: E280110520005749D0F50065
2022-04-02 21:53:29 EPC: 007219000000000000000A27, TID: E280110520005749D0F50065
2022-04-02 21:53:40 EPC: 007219000000000000000AD2, TID: E280110520005643D30F0065
2022-04-02 21:53:41 EPC: 007219000000000000000AD2, TID: E280110520005643D30F0065
2022-04-02 21:53:44 EPC: 007219000000000000000AD2, TID: E280110520005643D30F0065
2022-04-02 21:53:49 EPC: 007219000000000000000AD2, TID: E280110520005643D30F0065
2022-04-02 21:53:52 EPC: 007219000000000000000AD2, TID: E280110520005643D30F0065
