2022-04-05 09:06:42 EPC: 006815000000000000001571, TID: E280110520005B4D31E9021B, ANT: 01
2022-04-05 09:06:43 EPC: 006815000000000000001571, TID: E280110520005B4D31E9021B, ANT: 01
2022-04-05 09:06:49 EPC: 007219000000000000000414, TID: E280110520005506D3D90065, ANT: 01
2022-04-05 09:06:55 EPC: 007219000000000000000409, TID: E280110520005146D2E90065, ANT: 01
2022-04-05 09:07:02 EPC: 007219000000000000000409, TID: E280110520005146D2E90065, ANT: 01
2022-04-05 09:07:03 EPC: 007219000000000000000409, TID: E280110520005146D2E90065, ANT: 01
2022-04-05 09:07:15 EPC: 007219000000000000000445, TID: E28011052000531AD1590065, ANT: 01
2022-04-05 09:07:51 EPC: 0072190000000000000003CF, TID: E280110520005046D2E90065, ANT: 01
2022-04-05 09:08:00 EPC: 0072190000000000000003CF, TID: E280110520005046D2E90065, ANT: 01
2022-04-05 09:13:28 EPC: 0072190000000000000003D8, TID: E280110520005B46D48B0065, ANT: 01
2022-04-05 09:13:29 EPC: 0072190000000000000003D8, TID: E280110520005B46D48B0065, ANT: 01
2022-04-05 09:13:34 EPC: 0072190000000000000004E5, TID: E280110520005359D1590065, ANT: 01
