2022-03-31 21:46:25 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:25 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:26 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:28 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:28 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:29 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:31 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:31 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:32 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:34 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:34 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:35 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:37 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:37 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:38 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:40 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:40 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:41 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:43 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:44 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:44 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:47 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:47 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:48 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:50 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:50 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:51 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:53 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:53 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:54 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:56 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:56 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:57 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:59 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:59 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:47:00 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:47:02 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:47:03 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:47:03 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:47:06 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:47:06 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:47:06 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
